,Unnamed: 0,Unnamed: 0.1,UNIQUEKEY,APPLICATIONTYPE,APPLICATIONTYPE.1,APPLICATIONSTARTDATE,WORKTYPE,WORKTYPEDESCRIPTION,APPLICATIONFINALIZEDDATE,PARKINGMETERPOSTINGORBAGGING,XCOORDINATE,YCOORDINATE,LATITUDE,LONGITUDE,LOCATION,STREETCLOSURE,STREETNUMBERFROM,STREETNUMBERTO,DIRECTION,STREETNAME
25254,99522,99522,45824217260,DOT_SE,DOT_SE,07/25/2015,BlockParty,Block Party,07/26/2015,,1152175.0,1859284.0,41.769736732,-87.717752804,"(41.769736731727114, -87.71775280380453)",Full,3800.0,3899.0,W,68TH
25292,99720,99720,46245021838,DOT_SE,DOT_SE,10/03/2015,BlockParty,Block Party,10/05/2015,,1149970.0,1926341.0,41.953793151,-87.724091461,"(41.95379315115282, -87.72409146123093)",Full,4000.0,4099.0,N,AVERS
25328,99902,99902,45688015859,DOT_SE,DOT_SE,08/29/2015,BlockParty,Block Party,08/30/2015,,1164634.0,1834981.0,41.702793254,-87.672766778,"(41.702793254136374, -87.67276677814881)",Full,10465.0,10498.0,S,SEELEY
25377,100100,100100,618318245675,DOT_PWO,DOT_PWO,12/23/2015,GenOpening,Opening in the Public Way,,,1155702.0,1864894.0,41.785062244,-87.70467472799999,"(41.785062243832655, -87.7046747282252)",Sidewalk,5938.0,5938.0,S,SAWYER
25394,100174,100174,45839517435,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1130912.0,1868624.0,41.795760121,-87.79548210200001,"(41.79576012090816, -87.79548210185303)",Full,5300.0,5399.0,S,NEWLAND
25407,100235,100235,46077520002,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1154443.0,1899803.0,41.880880568,-87.708357034,"(41.88088056770811, -87.70835703387841)",Full,1.0,99.0,S,SPAULDING
25468,100436,100436,5960332791,DOT_OCC,DOT_OCC,04/10/2015,StClosure,Street Closure,05/23/2015,,1175443.0,1902375.0,41.887493173,-87.631169486,"(41.88749317301159, -87.63116948616299)",Partial,300.0,311.0,N,CLARK
25496,100558,100558,613664243171,DOT_PWO,DOT_PWO,12/29/2015,GenOpening,Opening in the Public Way,06/13/2017,,1152118.0,1885170.0,41.840772725,-87.717282751,"(41.84077272522674, -87.71728275112253)",Curblane,2758.0,2758.0,S,LAWNDALE
25566,100877,100877,45944318560,DOT_SE,DOT_SE,07/04/2015,BlockParty,Block Party,07/05/2015,,1144340.0,1900591.0,41.883240494,-87.745434808,"(41.88324049404458, -87.74543480793207)",Full,4800.0,4899.0,W,WEST END
25618,101072,101072,45711016092,DOT_SE,DOT_SE,07/25/2015,BlockParty,Block Party,07/26/2015,,1151074.0,1909086.0,41.906421774,-87.720483855,"(41.906421773724986, -87.72048385469213)",Full,1400.0,1460.0,N,RIDGEWAY
25633,101122,101122,45883117907,DOT_SE,DOT_SE,06/27/2015,BlockParty,Block Party,06/28/2015,,1166720.0,1874841.0,41.812128807,-87.663993914,"(41.81212880737452, -87.66399391351223)",Full,4500.0,4599.0,S,JUSTINE
25660,101243,101243,46243221820,DOT_SE,DOT_SE,10/03/2015,BlockParty,Block Party,10/05/2015,,1164570.0,1880794.0,41.82851216,-87.671711109,"(41.82851215984483, -87.67171110856626)",Full,3600.0,3699.0,S,HONORE
25689,101382,101382,45914018238,DOT_SE,DOT_SE,07/19/2015,BlockParty,Block Party,07/20/2015,,1178334.0,1858600.0,41.767305676,-87.62188605,"(41.76730567626619, -87.62188605036673)",Full,7000.0,7099.0,S,MICHIGAN
25736,101589,101589,45822417242,DOT_SE,DOT_SE,06/06/2015,BlockParty,Block Party,06/07/2015,,1165722.0,1874831.0,41.812123954,-87.66765449200001,"(41.812123954174986, -87.66765449247102)",Full,4500.0,4599.0,S,PAULINA
25787,101792,101792,61271269460,DOT_OCC,DOT_OCC,12/09/2015,GenOccupy,"Work Vehicles, Temporary Driveways, Barricades, Operating Equipment",,,1138803.0,1941338.0,41.995155576,-87.76477767799999,"(41.9951555764971, -87.76477767846198)",Partial,6334.0,6384.0,N,LEHIGH
25839,101979,101979,45946518582,DOT_SE,DOT_SE,07/18/2015,BlockParty,Block Party,07/19/2015,,1154119.0,1861992.0,41.777129517,-87.71055535299999,"(41.777129516834094, -87.71055535301451)",Full,3502.0,3554.0,W,64TH
25842,101992,101992,6070943161,DOT_OCC,DOT_OCC,09/16/2015,StClosure,Street Closure,09/18/2015,,1173264.0,1902901.0,41.888984826,-87.639158149,"(41.88898482573557, -87.639158148506)",Full,423.0,427.0,W,KINZIE
25942,102405,102405,619835246359,DOT_PWO,DOT_PWO,12/31/2015,GenOpening,Opening in the Public Way,,,1157081.0,1863128.0,41.780187798,-87.699663697,"(41.78018779794267, -87.69966369669405)",Curblane,6220.0,6220.0,S,WHIPPLE
25965,102482,102482,45675215732,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1143027.0,1934181.0,41.975440275,-87.749418027,"(41.97544027526877, -87.7494180269761)",Full,5200.0,5299.0,N,LA CROSSE
26027,102739,102739,45978518915,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1138132.0,1906129.0,41.898550971,-87.768099338,"(41.898550970723534, -87.768099338133)",Full,1000.0,1099.0,N,WALLER
26086,102984,102984,45792416933,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1161770.0,1931907.0,41.96882727,-87.680558401,"(41.968827269803064, -87.68055840060352)",Full,4800.0,4899.0,N,SEELEY
26147,103243,103243,45841917460,DOT_SE,DOT_SE,07/18/2015,BlockParty,Block Party,07/19/2015,,1154171.0,1860671.0,41.77350309,-87.71039828299999,"(41.773503089877515, -87.71039828274982)",Full,3500.0,3561.0,W,66TH
26186,103403,103403,45746216462,DOT_SE,DOT_SE,06/06/2015,BlockParty,Block Party,06/07/2015,,1163087.0,1920974.0,41.938799855,-87.676022725,"(41.93879985505737, -87.67602272476088)",Full,1900.0,1999.0,W,FLETCHER
26241,103632,103632,46142420698,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1156593.0,1831463.0,41.693303853,-87.702304755,"(41.69330385295504, -87.70230475536012)",Full,11000.0,11099.0,S,SAWYER
26302,103919,103919,45904118133,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1158085.0,1910562.0,41.910332355,-87.694690256,"(41.910332355421694, -87.69469025644081)",Full,1600.0,1699.0,N,WASHTENAW
26303,103920,103920,45986218992,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1129982.0,1915230.0,41.923667991,-87.797826274,"(41.923667991061784, -87.79782627423162)",Full,2400.0,2499.0,N,NEW ENGLAND
26383,104234,104234,45859417654,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1167051.0,1919084.0,41.933528804,-87.661506715,"(41.933528803593134, -87.66150671486605)",Full,1300.0,1399.0,W,WOLFRAM
26419,104381,104381,45815817173,DOT_SE,DOT_SE,06/20/2015,BlockParty,Block Party,06/21/2015,,1167437.0,1872882.0,41.806737953,-87.661418766,"(41.8067379533366, -87.66141876557302)",Full,4800.0,4899.0,S,BISHOP
26440,104456,104456,46033719520,DOT_SE,DOT_SE,09/06/2015,BlockParty,Block Party,09/07/2015,,1153831.0,1886298.0,41.843834125,-87.710966789,"(41.843834125085635, -87.71096678873607)",Full,2619.0,2659.0,S,TRUMBULL
26445,104477,104477,45811217126,DOT_SE,DOT_SE,07/18/2015,BlockParty,Block Party,07/19/2015,,1187532.0,1851541.0,41.747723064,-87.58839503700001,"(41.74772306362271, -87.58839503654755)",Full,8100.0,8199.0,S,BLACKSTONE
26470,104590,104590,613438243129,DOT_PWO,DOT_PWO,12/11/2015,GenOpening,Opening in the Public Way,,,1183804.0,1868611.0,41.794650716,-87.60152510700001,"(41.79465071642466, -87.60152510745105)",Curblane,5510.0,5510.0,S,ELLIS
26537,104874,104874,46016619344,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1147192.0,1918447.0,41.932183735,-87.734506513,"(41.932183735140484, -87.7345065129492)",Full,2814.0,2858.0,N,KILDARE
26542,104893,104893,46000819161,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1142391.0,1909535.0,41.90782119,-87.752372044,"(41.90782118977706, -87.75237204360361)",Full,1500.0,1599.0,N,LAWLER
26556,104953,104953,45727016268,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1137440.0,1909502.0,41.907821014,-87.770558289,"(41.90782101420998, -87.77055828944658)",Full,1509.0,1533.0,N,MENARD
26561,104976,104976,45690215883,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1144463.0,1872325.0,41.805671541,-87.74569605,"(41.805671541047346, -87.74569605008801)",Full,4800.0,4856.0,S,LAMON
26642,105252,105252,46087220115,DOT_SE,DOT_SE,09/13/2015,BlockParty,Block Party,09/14/2015,,1185700.0,1862790.0,41.77863464,-87.594755156,"(41.77863464008107, -87.59475515643354)",Full,6400.0,6442.0,S,KIMBARK
26668,105349,105349,46121020474,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1156955.0,1929283.0,41.961725691999995,-87.69833457799999,"(41.96172569159874, -87.69833457779626)",Full,4415.0,4459.0,N,CALIFORNIA
26694,105447,105447,45717616157,DOT_SE,DOT_SE,06/27/2015,BlockParty,Block Party,06/28/2015,,1166966.0,1854832.0,41.75721619,-87.663662567,"(41.75721618972939, -87.66366256685195)",Full,1600.0,1699.0,W,75TH
26696,105458,105458,45672615707,DOT_SE,DOT_SE,08/01/2015,BlockParty,Block Party,08/02/2015,,1150806.0,1907100.0,41.900977983000004,-87.72152241,"(41.90097798348432, -87.72152240995301)",Full,1100.0,1199.0,N,HAMLIN
26705,105514,105514,45848717528,DOT_SE,DOT_SE,07/25/2015,BlockParty,Block Party,07/26/2015,,1135254.0,1868089.0,41.794216193000004,-87.779572156,"(41.79421619276994, -87.7795721563613)",Full,5400.0,5440.0,S,MOBILE
26736,105679,105679,46100320255,DOT_SE,DOT_SE,08/28/2015,BlockParty,Block Party,08/29/2015,,1168418.0,1826450.0,41.679301533,-87.659155616,"(41.67930153251292, -87.65915561623314)",Full,11800.0,11899.0,S,LAFLIN
26737,105681,105681,45987219003,DOT_SE,DOT_SE,08/07/2015,BlockParty,Block Party,08/08/2015,,1151787.0,1885094.0,41.840570432,-87.718499541,"(41.84057043179238, -87.71849954119223)",Full,2800.0,2859.0,S,RIDGEWAY
26773,105813,105813,45736316360,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1170646.0,1852398.0,41.750457759,-87.65024711,"(41.750457759386286, -87.65024710950064)",Full,7900.0,7999.0,S,CARPENTER
26827,106065,106065,46085920102,DOT_SE,DOT_SE,08/27/2015,BlockParty,Block Party,08/28/2015,,1157079.0,1875363.0,41.813762495,-87.699341551,"(41.8137624950628, -87.6993415510576)",Full,3000.0,3099.0,W,44TH
26842,106117,106117,46096220206,DOT_SE,DOT_SE,08/29/2015,BlockParty,Block Party,08/30/2015,,1148524.0,1894745.0,41.867118593,-87.730221579,"(41.867118593192224, -87.73022157881985)",Full,4200.0,4299.0,W,GRENSHAW
26926,106430,106430,45830217325,DOT_SE,DOT_SE,07/11/2015,BlockParty,Block Party,07/12/2015,,1144651.0,1932334.0,41.970339621,-87.743492033,"(41.97033962107458, -87.74349203296006)",Full,4900.0,4999.0,N,KILPATRICK
26932,106454,106454,45878917862,DOT_SE,DOT_SE,08/10/2015,BlockParty,Block Party,08/11/2015,,1151455.0,1885083.0,41.840548276999996,-87.71971815799999,"(41.84054827703836, -87.71971815823858)",Full,2800.0,2899.0,S,HAMLIN
26966,106594,106594,46109820352,DOT_SE,DOT_SE,08/08/2015,BlockParty,Block Party,08/09/2015,,1155216.0,1832746.0,41.696853202,-87.707311711,"(41.69685320226708, -87.70731171059504)",Full,10800.0,10899.0,S,TRUMBULL
27087,107019,107019,46145820733,DOT_SE,DOT_SE,08/29/2015,BlockParty,Block Party,08/30/2015,,1136678.0,1901425.0,41.885670368,-87.77355350100002,"(41.88567036803781, -87.77355350122288)",Full,300.0,399.0,N,MASON
27161,107271,107271,46025019428,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1173622.0,1841176.0,41.719599132,-87.63967091399998,"(41.719599131686515, -87.6396709141244)",Full,9600.0,9699.0,S,LOWE
27171,107317,107317,615381244344,DOT_PWO,DOT_PWO,12/16/2015,GenOpening,Opening in the Public Way,,,1163118.0,1900066.0,41.881424489000004,-87.676496537,"(41.88142448874098, -87.67649653684576)",Curblane,3.0,3.0,N,DAMEN
27264,107736,107736,616709244875,DOT_PWO,DOT_PWO,12/18/2015,GenOpening,Opening in the Public Way,,,1144348.0,1925135.0,41.950591935,-87.74478748899998,"(41.950591934624384, -87.74478748924066)",Curblane,4701.0,4701.0,W,BERENICE
27273,107773,107773,46045019652,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1182315.0,1861381.0,41.774846425,-87.607208962,"(41.7748464249042, -87.60720896218591)",Full,6600.0,6699.0,S,EVANS
27290,107842,107842,45860217662,DOT_SE,DOT_SE,07/17/2015,BlockParty,Block Party,07/18/2015,,1148027.0,1873744.0,41.809497378,-87.732588731,"(41.80949737808888, -87.73258873089536)",Full,4600.0,4699.0,S,KOLIN
27397,108256,108256,46020619384,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1164694.0,1864181.0,41.782920213000004,-87.671724265,"(41.782920213043525, -87.67172426484667)",Full,6100.0,6199.0,S,WOLCOTT
27413,108328,108328,45911218208,DOT_SE,DOT_SE,07/18/2015,BlockParty,Block Party,07/19/2015,,1156187.0,1918503.0,41.932160263,-87.70144755,"(41.93216026255433, -87.7014475504706)",Full,2800.0,2899.0,N,RICHMOND
27500,108628,108628,45952218640,DOT_SE,DOT_SE,07/18/2015,BlockParty,Block Party,07/19/2015,,1148154.0,1931615.0,41.968299551,-87.73063163100002,"(41.96829955122379, -87.73063163064401)",Full,4800.0,4899.0,N,KARLOV
27569,108910,108910,46225621624,DOT_SE,DOT_SE,10/24/2015,BlockParty,Block Party,10/25/2015,,1164360.0,1912077.0,41.914358999,-87.67159585799999,"(41.91435899934802, -87.67159585767763)",Full,1800.0,1899.0,N,HERMITAGE
27632,109183,109183,613588243198,DOT_PWO,DOT_PWO,12/10/2015,GenOpening,Opening in the Public Way,05/03/2016,,1149079.0,1865362.0,41.78647532,-87.728945507,"(41.78647532042203, -87.72894550695858)",Sidewalk,5841.0,5841.0,S,TRIPP
27637,109195,109195,618460245738,DOT_PWO,DOT_PWO,12/21/2015,GenOpening,Opening in the Public Way,08/30/2016,,1148837.0,1883668.0,41.836714266,-87.729360106,"(41.83671426640126, -87.72936010598488)",Full,4203.0,4203.0,W,31ST
27725,109555,109555,46104620300,DOT_SE,DOT_SE,08/21/2015,BlockParty,Block Party,08/22/2015,,1157355.0,1918528.0,41.932205789,-87.697153907,"(41.93220578885848, -87.69715390660923)",Full,2754.0,2762.0,W,DIVERSEY
27746,109623,109623,45821617234,DOT_SE,DOT_SE,08/30/2015,BlockParty,Block Party,08/31/2015,,1186184.0,1869821.0,41.797915736,-87.592759374,"(41.79791573597964, -87.59275937426996)",Full,5400.0,5499.0,S,RIDGEWOOD
27757,109683,109683,45781516818,DOT_SE,DOT_SE,07/04/2015,BlockParty,Block Party,07/05/2015,,1169083.0,1890861.0,41.856040105,-87.654861683,"(41.85604010513577, -87.65486168288567)",Full,1142.0,1199.0,W,19TH
27803,109848,109848,46113020387,DOT_SE,DOT_SE,08/22/2015,BlockParty,Block Party,08/23/2015,,1194616.0,1848413.0,41.738967497,-87.56253915,"(41.738967496856205, -87.56253915044769)",Full,8600.0,8699.0,S,KINGSTON
27817,109892,109892,46139520669,DOT_SE,DOT_SE,09/06/2015,BlockParty,Block Party,09/07/2015,,1149783.0,1861139.0,41.774875601,-87.726471006,"(41.77487560137254, -87.72647100611671)",Full,6500.0,6559.0,S,KEDVALE
27831,109973,109973,46076619993,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1167911.0,1843691.0,41.726624662,-87.66051799600002,"(41.72662466246155, -87.66051799634526)",Full,9200.0,9299.0,S,LAFLIN
27856,110077,110077,45896818061,DOT_SE,DOT_SE,08/15/2015,BlockParty,Block Party,08/16/2015,,1159565.0,1869386.0,41.797310734,-87.690387874,"(41.79731073423882, -87.69038787430388)",Full,5300.0,5399.0,S,TALMAN
27858,110084,110084,5988752897,DOT_OCC,DOT_OCC,05/18/2015,StClosure,Street Closure,05/19/2015,,1176795.0,1901482.0,41.885012883,-87.626234141,"(41.885012882844975, -87.62623414070684)",Full,45.0,45.0,E,BENTON
27925,110343,110343,45978418914,DOT_SE,DOT_SE,09/06/2015,BlockParty,Block Party,09/07/2015,,1136804.0,1895812.0,41.870265187,-87.773222889,"(41.87026518651815, -87.77322288861693)",Full,900.0,999.0,S,MASON
27937,110384,110384,613392243050,DOT_PWO,DOT_PWO,12/10/2015,GenOpening,Opening in the Public Way,,,1201198.0,1839248.0,41.713654203000004,-87.538737519,"(41.71365420268293, -87.53873751915407)",Curblane,10005.0,10005.0,S,AVENUE N
